"","strain","condition","OD","mean_absorb"
"1","JV15","exp","OD500",0.0425
"2","JV16","exp","OD500",0.053
"3","JV17","exp","OD500",0.0655
"4","JV18","exp","OD500",0.051
"5","JV19","exp","OD500",0.0185
"6","JV20","exp","OD500",0.053
"7","JV21","exp","OD500",0.0715
"8","JV22","exp","OD500",0.065
"9","JV23","exp","OD500",0.037
"10","JV24","exp","OD500",0.0935
"11","JV26","exp","OD500",0.0605
"12","JV27","exp","OD500",0.0625
"13","JV28","exp","OD500",0.0805
"14","JV29","exp","OD500",0.103
"15","JV30","exp","OD500",0.0405
"16","JV31","exp","OD500",0.1065
"17","JV32","exp","OD500",0.073
"18","JV33","exp","OD500",0.0515
"19","JV34","exp","OD500",0.043
"20","JV35","exp","OD500",0.073
"21","JV36","exp","OD500",0.0515
"22","JV38","exp","OD500",0.0195
"23","JV39","exp","OD500",0.023
"24","JV40","exp","OD500",0.094
"25","JV41","exp","OD500",0.044
"26","JV42","exp","OD500",0.0815
"27","JV43","exp","OD500",0.087
"28","JV44","exp","OD500",0.0315
"29","JV45","exp","OD500",0.0445
"30","JV46","exp","OD500",0.07
"31","JV47","exp","OD500",5e-04
"32","JV48","exp","OD500",0.0775
"33","JV49","exp","OD500",0.1065
"34","JV50","exp","OD500",0.0525
"35","JV51","exp","OD500",0.045
"36","JV52","exp","OD500",0.046
"37","JV53","exp","OD500",0.0645
"38","JV55","exp","OD500",0.089
"39","JV56","exp","OD500",0.027
"40","JV57","exp","OD500",0.0605
"41","JV58","exp","OD500",0.042
"42","JV59","exp","OD500",0.0905
"43","JV60","exp","OD500",0.0995
"44","JV61","exp","OD500",0.0775
"45","JV62","exp","OD500",0.094
"46","JV63","exp","OD500",0.0695
"47","JV64","exp","OD500",0.068
"48","JV65","exp","OD500",0.073
"49","JV66","exp","OD500",0.0875
"50","JV67","exp","OD500",0.064
"51","JV68","exp","OD500",0.0585
"52","JV69","exp","OD500",0.089
"53","JV70","exp","OD500",0.0345
"54","JV71","exp","OD500",0.076
"55","JV73","exp","OD500",0.0915
"56","JV193","exp","OD500",0.092
"57","JV194","exp","OD500",0.084
"58","JV195","exp","OD500",0.1365
"59","JV196","exp","OD500",0.059
"60","JV197","exp","OD500",0.0755
"61","JV198","exp","OD500",0.0645
"62","JV199","exp","OD500",0.0645
"63","JV200","exp","OD500",0.057
"64","JV201","exp","OD500",0.0845
"65","JV202","exp","OD500",0.0325
"66","JV203","exp","OD500",0.1565
"67","JV204","exp","OD500",0.0615
"68","JV257","exp","OD500",0.1335
"69","JV258","exp","OD500",0.0225
"70","JV259","exp","OD500",0.074
"71","JV260","exp","OD500",0.02
"72","JV261","exp","OD500",0.0725
"73","JV262","exp","OD500",0.07
"74","JV263","exp","OD500",0.08
"75","JV264","exp","OD500",0.0655
"76","JV265","exp","OD500",0.0515
"77","JV266","exp","OD500",0.0775
"78","JV267","exp","OD500",0.0405
"79","JV268","exp","OD500",0.0755
"80","JV269","exp","OD500",0.034
"81","JV270","exp","OD500",0.0495
"82","JV271","exp","OD500",0.0645
"83","JV272","exp","OD500",0.0235
"84","JV273","exp","OD500",0.4075
"85","JV274","exp","OD500",0.0815
"86","JV275","exp","OD500",0.0675
"87","JV276","exp","OD500",0.1095
"88","JV287","exp","OD500",0.062
"89","JV288","exp","OD500",0.0605
"90","JV289","exp","OD500",0.051
"91","JV290","exp","OD500",0.077
"92","JV291","exp","OD500",0.0215
"93","JV292","exp","OD500",0.012
"94","JV294","exp","OD500",0.0835
"95","JV296","exp","OD500",0.021
"96","JV297","exp","OD500",0.0185
"97","JV298","exp","OD500",0.073
"98","JV450","pos_ctl","OD500",0.086
"99","JV462","neg_ctl","OD500",0.07475
"100","MG1655pPhzA-GS*M","MG1655pPhzA-GS*M","OD500",0.309
"101","MG1655pPhzA-GSM","MG1655pPhzA-GSM","OD500",0.0105
"102","JV299","exp","OD500",0.103
"103","JV301","exp","OD500",0.0585
"104","JV302","exp","OD500",0.0935
"105","JV303","exp","OD500",0.075
"106","JV304","exp","OD500",0.093
"107","JV305","exp","OD500",0.1185
"108","JV306","exp","OD500",0.1025
"109","JV307","exp","OD500",0.1795
"110","JV308","exp","OD500",0.0445
"111","JV309","exp","OD500",0.066
"112","JV310","exp","OD500",0.0145
"113","JV311","exp","OD500",0.052
"114","JV312","exp","OD500",0.0655
"115","JV313","exp","OD500",0.0565
"116","JV314","exp","OD500",0.06
"117","JV315","exp","OD500",0.0605
"118","JV316","exp","OD500",0.0645
"119","JV317","exp","OD500",0.068
"120","JV318","exp","OD500",0.091
"121","JV319","exp","OD500",0.0185
"122","JV320","exp","OD500",0.065
"123","JV321","exp","OD500",0.0885
"124","JV322","exp","OD500",0.0575
"125","JV323","exp","OD500",0.022
"126","JV324","exp","OD500",0.0605
"127","JV325","exp","OD500",0.102
"128","JV326","exp","OD500",0.066
"129","JV327","exp","OD500",0.0445
"130","JV328","exp","OD500",0.0305
"131","JV329","exp","OD500",0.072
"132","JV330","exp","OD500",0.0455
"133","JV331","exp","OD500",0.104
"134","JV332","exp","OD500",0.1275
"135","JV333","exp","OD500",0.0685
"136","JV334","exp","OD500",0.07
"137","JV335","exp","OD500",0.0965
"138","JV336","exp","OD500",0.104
"139","JV337","exp","OD500",0.0605
"140","JV340","exp","OD500",0.0115
"141","JV341","exp","OD500",0.107
"142","JV342","exp","OD500",0.098
"143","JV343","exp","OD500",0.0305
"144","JV344","exp","OD500",0.109
"145","JV345","exp","OD500",0.057
"146","JV346","exp","OD500",0.0745
"147","JV347","exp","OD500",0.0685
"148","JV348","exp","OD500",0.082
"149","JV349","exp","OD500",0.067
"150","JV350","exp","OD500",0.051
"151","JV351","exp","OD500",0.076
"152","JV352","exp","OD500",0.079
